max_depth,test_size,MAE,Variance
1,0.1,1.6843314823304685,6.080465362692058
1,0.2,1.5194198418820877,4.4993498614625
1,0.5,1.4076675649814545,3.7768665871374805
1,0.8,2.2754110513232275,8.517983622549457
1,0.9,3.4588014981273414,21.402695366746624
2,0.1,1.5372340314417106,6.051916502698755
2,0.2,1.3088339350146143,4.047933699036113
2,0.5,1.3031785952125914,3.24889716300141
2,0.8,2.1087538650672957,7.835668303702485
2,0.9,3.4588014981273414,21.402695366746624
4,0.1,1.708453301460135,7.39001891885994
4,0.2,1.278274136364502,3.839637385135846
4,0.5,1.4670014856740703,3.8399364982517903
4,0.8,2.1087538650672957,7.835668303702485
4,0.9,3.4588014981273414,21.402695366746624
6,0.1,1.6959288282037437,7.688765343283507
6,0.2,1.3087946619326536,3.836677207106328
6,0.5,1.4247496315458918,3.7369604013546063
6,0.8,2.1087538650672957,7.835668303702485
6,0.9,3.4588014981273414,21.402695366746624
8,0.1,1.6498918905307103,7.194014342615435
8,0.2,1.31065551752425,3.820135771398148
8,0.5,1.4446129806656003,3.7922394732793236
8,0.8,2.1087538650672957,7.835668303702485
8,0.9,3.4588014981273414,21.402695366746624
10,0.1,1.6441398043975475,7.304503778653219
10,0.2,1.348247918332442,4.116484088448506
10,0.5,1.4446129806656003,3.7922394732793236
10,0.8,2.1087538650672957,7.835668303702485
10,0.9,3.4588014981273414,21.402695366746624
