num_layers,test_size,test_variance,test_mae
1,0.1,2.716162919998169,1731.166646360825
1,0.2,2.042916774749756,1720.017898793356
1,0.5,1.9189993143081665,1444.9327993876432
1,0.8,2.3842878341674805,1573.9583035507553
1,0.9,1.8354345560073853,1500.1422483123458
2,0.1,447.1352233886719,1719.6391273021698
2,0.2,558.7921752929688,1709.7083643327546
2,0.5,1694.1072998046875,1428.0488887291801
2,0.8,3984.295166015625,1542.5201597630123
2,0.9,1309.5557861328125,1479.1033398198992
4,0.1,2189018.0,1453.4091342103245
4,0.2,1994849.5,1384.5328749854966
4,0.5,2109994.5,1155.7220978634293
4,0.8,49438.34375,1412.3000227407326
4,0.9,9160.302734375,1434.404127821161
6,0.1,2466564.0,1667.2777183383116
6,0.2,2177245.0,1542.969917946995
6,0.5,2304704.25,1270.910584274231
6,0.8,51174.88671875,1419.036683322783
6,0.9,7926.66943359375,1432.098516557063
8,0.1,2278498.25,1299.066299498315
8,0.2,1988543.875,1109.270615802425
8,0.5,2216725.75,1083.1699560887312
8,0.8,53051.08203125,1427.8121308291045
8,0.9,10057.890625,1437.3919626119662
10,0.1,1888299.25,1140.0815840178846
10,0.2,2.2426504885669925e-16,1716.6121586491267
10,0.5,3.566924350556586e-15,1442.412558886777
10,0.8,3.999058151293866e-08,1573.2189537601132
10,0.9,3.560608449385385e-15,1499.7029366347847
