num_layers,test_size,mean_prediction,variance_prediction,mae,smape
1,0.1,115.36055,3413.0178,2.9612021,2.9805151745676994
1,0.2,118.49116,3511.6208,3.0207636,3.235573321580887
1,0.5,108.75399,3480.4155,2.8407905,2.6723407208919525
1,0.8,106.76378,3177.939,2.937998,2.9449211433529854
1,0.9,108.221985,3250.298,3.4879336,3.3809661865234375
2,0.1,115.018,3450.9958,2.6304255,2.287433110177517
2,0.2,120.83847,4236.9805,5.3339663,3.4556545317173004
2,0.5,108.151566,3131.0713,2.247869,2.2493192926049232
2,0.8,107.58342,3082.3623,2.8037276,2.7298450469970703
2,0.9,108.75699,3205.6438,3.4453478,3.1517092138528824
4,0.1,115.930046,3641.3547,2.5402672,2.2640392184257507
4,0.2,118.25763,3433.56,2.9969082,3.240078315138817
4,0.5,107.88501,3329.2058,2.4557807,2.3029590025544167
4,0.8,107.01329,2999.3757,2.8902347,2.8143277391791344
4,0.9,108.01074,3187.0103,3.6284385,3.4214507788419724
6,0.1,115.54781,3609.3108,2.18658,1.9623050466179848
6,0.2,111.00525,2562.912,6.7448936,4.1605401784181595
6,0.5,110.880974,3061.5117,5.103229,6.775299459695816
6,0.8,106.05572,2897.6748,3.1557827,2.8798773884773254
6,0.9,116.388466,2381.6633,12.628721,16.164568066596985
8,0.1,107.96956,5.820766e-11,49.804424,44.37786936759949
8,0.2,106.79347,5.820766e-11,49.186104,43.83783042430878
8,0.5,109.09593,5.820766e-11,47.20461,44.041746854782104
8,0.8,114.97669,5.820766e-11,47.98961,44.84158456325531
8,0.9,66.45313,5.820766e-11,50.38144,47.247955203056335
10,0.1,106.151634,5.820766e-11,49.706013,44.3062961101532
10,0.2,106.859634,2.3283064e-10,49.186886,43.837907910346985
10,0.5,109.280556,0.0,47.251263,44.08041834831238
10,0.8,115.26935,2.3283064e-10,48.08373,44.914329051971436
10,0.9,133.8462,0.0,55.175014,49.42730963230133
