num_layers,thinning_fraction,order,mae,forecast_variance
1,0.1,"(1, 1, 1)",38.28574124749737,0.0007502814539579031
1,0.2,"(1, 1, 1)",37.73976036358784,3.3584577078676312e-06
1,0.5,"(1, 1, 1)",38.52412154815041,3.1782292701491855e-08
1,0.8,"(1, 1, 1)",41.77293323474691,1.3210656123986252e-10
1,0.9,"(1, 1, 1)",41.77297456879404,1.328428500948172e-10
2,0.1,"(2, 1, 1)",37.78453480779572,2.6635093978324605e-05
2,0.2,"(2, 1, 1)",38.191497330096134,0.0004741652587048514
2,0.5,"(2, 1, 1)",38.76432404070374,0.0001648896445477637
2,0.8,"(2, 1, 1)",41.770977345911845,1.8950996626192377e-08
2,0.9,"(2, 1, 1)",41.71528216419116,4.193233379246659e-05
4,0.1,"(4, 1, 1)",38.313150986799236,0.0013247558460173653
4,0.2,"(4, 1, 1)",38.29981192568731,0.0012841017219565487
4,0.5,"(4, 1, 1)",38.74946950015532,0.0002280126516970325
4,0.8,"(4, 1, 1)",41.786887802190684,2.8931388297568374e-07
4,0.9,"(4, 1, 1)",41.76983648398948,5.454999652233905e-08
6,0.1,"(6, 1, 1)",38.30014060537611,0.0013851977115328892
6,0.2,"(6, 1, 1)",38.101923059211444,0.000386660263582688
6,0.5,"(6, 1, 1)",38.63750048087838,0.00016767947560812236
6,0.8,"(6, 1, 1)",41.77692048630878,3.934023287562065e-08
6,0.9,"(6, 1, 1)",41.767329917260525,1.281139329915619e-07
8,0.1,"(8, 1, 1)",38.169365418487736,0.0006616073116912805
8,0.2,"(8, 1, 1)",38.34656778400649,0.0018883643286145483
8,0.5,"(8, 1, 1)",38.89519422404576,0.0007627994632278935
8,0.8,"(8, 1, 1)",41.87465725209636,3.959183179079553e-05
8,0.9,"(8, 1, 1)",41.933943330302505,0.000463549493754012
10,0.1,"(10, 1, 1)",38.508689985226084,0.003063582646284207
10,0.2,"(10, 1, 1)",38.531981111471566,0.003119906359105184
10,0.5,"(10, 1, 1)",38.8475616363418,0.0011563387461589632
10,0.8,"(10, 1, 1)",41.876736412534456,4.2571935757964025e-05
10,0.9,"(10, 1, 1)",41.826853968007306,4.311652045455051e-05
