training_fraction,order,mae,variance
0.1,"(1, 1, 1)",1.150056326537901,6.70359717016729e-11
0.1,"(2, 1, 2)",1.126723579187438,3.0958932975437316e-07
0.1,"(0, 1, 1)",1.1509956825045489,0.0
0.1,"(1, 1, 0)",1.1500993582809917,1.2182159418673693e-10
0.1,"(2, 1, 1)",1.1500319698764974,7.256741871874319e-11
0.1,"(1, 1, 2)",1.147891387057031,2.2931406048426917e-09
0.2,"(1, 1, 1)",1.2528396389136658,1.1228852946519301e-09
0.2,"(2, 1, 2)",1.253261442031178,3.380631651903764e-09
0.2,"(0, 1, 1)",1.247185158503284,0.0
0.2,"(1, 1, 0)",1.2548220605858798,4.177583362149957e-09
0.2,"(2, 1, 1)",1.2528947045695396,1.4225437987642932e-09
0.2,"(1, 1, 2)",1.2540099773656965,4.3488669869219564e-09
0.5,"(1, 1, 1)",1.1179254761055775,8.688227476678913e-09
0.5,"(2, 1, 2)",0.973324482057557,0.002871441169082946
0.5,"(0, 1, 1)",1.1248978359438937,0.0
0.5,"(1, 1, 0)",1.1183002802508217,7.207426772721502e-09
0.5,"(2, 1, 1)",1.1188411243219523,5.599951518955357e-09
0.5,"(1, 1, 2)",0.9842218125938335,3.604800909253739e-05
0.8,"(1, 1, 1)",0.6100591232604694,4.39645202674301e-08
0.8,"(2, 1, 2)",39.29445639817117,135.47624062234965
0.8,"(0, 1, 1)",0.6143290762133592,1.232595164407831e-32
0.8,"(1, 1, 0)",0.6103643875695497,3.408340068637742e-08
0.8,"(2, 1, 1)",0.6106817844194998,2.62179035166418e-08
0.8,"(1, 1, 2)",6.494961228732935,0.5975086030453981
0.9,"(1, 1, 1)",0.33322175605599164,1.457553363963491e-07
0.9,"(2, 1, 2)",9.482900131484849,5.766647417609827
0.9,"(0, 1, 1)",0.35105892262017546,0.0
0.9,"(1, 1, 0)",0.3350501032884913,1.058696889479853e-07
0.9,"(2, 1, 1)",0.33690133992521737,7.507445332658238e-08
0.9,"(1, 1, 2)",2.251292727985588,0.09667491322511339
